기업이름,고용형태,연봉,기업주소,키워드,기업형태,사원수,매출액
(주)디지트론,신입 · 경력 · 정규직 외,회사내규에 따름,"경기 성남시 분당구 판교로 697, A동 701호 (야탑동,분당테크노파크)",로봇제어,"중소기업, 주식회사, 외부감사법인, 연구..업종그 외 기타 전자부품 제조업",83,-
(주)신신사,경력무관 · 정규직,면접 후 결정,경남 김해시 주촌면 서부로1701번안길 142-13,로봇제어,"중소기업, 주식회사업종그 외 기타 전자부품 제조업",203,-
디알비오토메이션(주),경력무관 · 정규직,면접 후 결정,부산 금정구 금사로 130,로봇제어,"중견기업, 주식회사업종그 외 기타 특수목적용 기계 제조업",105,-
(주)티원솔루션,1 ~ 5년 · 정규직,면접 후 결정,"부산 해운대구 APEC로 17, 36층 3705호 (우동,센텀리더스마크)",로봇제어,중소기업업종그 외 기타 특수목적용 기계 제조업,4,-
(주)씨유박스,신입 · 경력 · 정규직,회사내규에 따름,서울 강남구 테헤란로22길 12,로봇제어,"코스닥, 중소기업, 외부감사법인, 주식회..업종응용 소프트웨어 개발 및 공급업",132,-
(주)씨유박스,경력 · 정규직,회사내규에 따름,서울 강남구 테헤란로22길 12,로봇제어,"코스닥, 중소기업, 외부감사법인, 주식회..업종응용 소프트웨어 개발 및 공급업",132,-
(주)알지에이아이엔씨,신입 · 경력 · 정규직,"연봉 10,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기","서울 서초구 서초대로 396, 7층 705호",로봇제어,"중소기업, 연구소업종전기ㆍ전자공학 연구개발업",3,-
코로아이㈜,신입 · 경력 · 정규직,"연봉 3,000 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기",경남 창원시 성산구 연덕로15번길 83,로봇제어,"중소기업, 주식회사업종배전반 및 전기 자동제어반 제조업",20,80억
(주)스튜디오쓰리에스코리아,신입 · 경력 · 정규직,면접 후 결정,경기 안양시 동안구 부림로170번길 41-20,로봇제어,중소기업업종시스템 소프트웨어 개발 및 공급업,34,-
(주)대일시스템,경력무관 · 정규직,면접 후 결정,경기 용인시 처인구 원삼면 맹리로 40,로봇제어,"중소기업, 스타트업, 주식회사, 병역특례..업종반도체 제조용 기계 제조업",34,-
한국자동차연구원,경력무관 · 계약직,면접 후 결정,충남 천안시 동남구 풍세면 풍세로 303,로봇제어,"기타, 비영리단체/협회업종기타 엔지니어링 서비스업",802,-
(주)태하,신입 · 경력 · 정규직,면접 후 결정,경기 남양주시 와부읍 수레로661번안길 3,로봇제어,"주식회사, 수출입 기업업종산업용 로봇 제조업",91,-
하이윈코퍼레이션(주),신입 · 경력 · 정규직,면접 후 결정,"경기 수원시 권선구 산업로155번길 228-92, 3층",로봇제어,"중소기업, 외국인 투자기업, 주식회사업종그 외 기타 특수목적용 기계 제조업",66,-
선우이엔지(주),신입 · 경력 · 정규직,면접 후 결정,"경기 광주시 초월읍 현산로 94, 3층",로봇제어,"중소기업, 외부감사법인, 주식회사, 수출..업종전기용 기계ㆍ장비 및 관련 기자재 도매업",23,-
(주)클로봇,4 ~ 10년 · 정규직,면접 후 결정,"경기 성남시 분당구 성남대로925번길 16, 7층 701호",로봇제어,"중소기업, 스타트업, 연구소, 주식회사, ..업종응용 소프트웨어 개발 및 공급업",116,-
(주)씨메스,신입 · 경력 · 정규직 외,회사내규에 따름,"서울 강남구 도산대로 318, 7층 1, 2호 (논현동,에스비타워)",로봇제어,"중소기업, 외부감사법인, 주식회사, 병역..업종그 외 기타 특수목적용 기계 제조업",113,-
(주)이지로보틱스,신입 · 정규직,면접 후 결정,"경기 수원시 영통구 덕영대로1556번길 16, D동 1101호",로봇제어,"중소기업, 외부감사법인, 연구소, 병역특..업종시스템 소프트웨어 개발 및 공급업설립일",-,-
(주)로봇앤드디자인,신입 · 경력 · 정규직,면접 후 결정,경기 용인시 처인구 경안천로 364,로봇제어,"중소기업, 스타트업, 수출입 기업업종산업용 로봇 제조업",141,-
(주)성진테크,경력무관 · 정규직,면접 후 결정,경남 김해시 진영읍 서부로179번길 39-86,로봇제어,"외부감사법인, 수출입 기업업종차체 및 특장차 제조업",180,"768억 7,200만"
현대엔지비(주),신입 · 경력 · 정규직,면접 후 결정,서울 관악구 관악로 1,로봇제어,"대기업, 외부감사법인업종기타 공학 연구개발업",135,-
대한상공회의소,신입 · 경력 · 교육생,면접 후 결정,서울 중구 세종대로 39,로봇제어,-,253,-
이엠에스(EMS),신입 · 경력 · 정규직,면접 후 결정,충남 천안시 서북구 불당26로 144,로봇제어,-,-,-
(주)이노비즈,신입 · 정규직,회사내규에 따름,경기 시흥시 엠티브이북로193번길 2,로봇제어,"중소기업, 주식회사, 외부감사법인, 병역..업종반도체 제조용 기계 제조업",79,-
(주)이노비즈,신입 · 정규직,회사내규에 따름,경기 시흥시 엠티브이북로193번길 2,로봇제어,"중소기업, 주식회사, 외부감사법인, 병역..업종반도체 제조용 기계 제조업",79,-
(주)미래컴퍼니,경력 · 정규직,회사내규에 따름,경기 화성시 양감면 정문송산로 69-12,로봇제어,"코스닥, 외부감사법인, 주식회사, 수출입..업종반도체 제조용 기계 제조업",325,-
(주)이노비즈,신입 · 정규직,면접 후 결정,경기 시흥시 엠티브이북로193번길 2,로봇제어,"중소기업, 주식회사, 외부감사법인, 병역..업종반도체 제조용 기계 제조업",79,-
(주)이노비즈,신입 · 정규직,회사내규에 따름,경기 시흥시 엠티브이북로193번길 2,로봇제어,"중소기업, 주식회사, 외부감사법인, 병역..업종반도체 제조용 기계 제조업",79,-
한국야스카와전기(주),신입 · 경력 · 정규직 외,면접 후 결정,"경기 안양시 동안구 엘에스로 112, 5층, 6층",로봇제어,"중견기업, 외국인 투자기업, 외부감사법..업종전기용 기계ㆍ장비 및 관련 기자재 도매업",156,-
엠에프알(주),경력무관 · 정규직,"연봉 3,700 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기","대구 달성군 현풍읍 테크노중앙대로 333, 대구경북과학기술원 산학협력관 404-에이호",로봇제어,"중소기업, 주식회사업종그 외 기타 특수목적용 기계 제조업",13,-
플레이코딩유한책임회사,경력 1년↑ · 정규직,면접 후 결정,"충남 천안시 서북구 백석공단1로 10, A동 906호",로봇제어,"중소기업, 사단법인, 협동조합업종기타 교육지원 서비스업",10,10조
씨제이대한통운(주),경력 3년↑ · 정규직,면접 후 결정,서울 종로구 종로5길 7,로봇제어,"코스피, 대기업, 1000대기업, 주식회사업종도로 화물 운송업",6326,-
엘에스오토모티브테크놀로지스(주),신입 · 경력 · 정규직,면접 후 결정,"경기 안양시 동안구 시민대로 260, 20층 안양금융센터에이에프씨",로봇제어,"대기업, 주식회사업종그 외 자동차용 신품 부품 제조업설립일",-,-
(주)엔젤로보틱스,신입 · 경력 · 정규직,면접 후 결정,"서울 성동구 성수이로22길 37, 1405호,1406호,1407호 (성수동2가,아크밸리)",로봇제어,"중소기업, 연구소, 주식회사, 병역특례 ..업종산업용 로봇 제조업",78,-
(주)엑스와이지,신입 · 정규직,면접 후 결정,-,로봇제어,"중소기업, 주식회사설립일*",-,-
티아이에스 주식회사,경력 15년↓ · 정규직,면접 후 결정,경기 화성시 동탄산단6길 15-33,로봇제어,"중소기업, 주식회사업종그 외 기타 전자부품 제조업",54,"119억 2,400만"
"Control Techniques, a NIDEC company",신입 · 경력 · 정규직,면접 후 결정,"서울 송파구 법원로11길 7, 문정현대지식산업센터 313,314호(문정동)",로봇제어,"외국 법인기업, 주식회사, 수출입 기업업종전기·전자·제어설립일",-,-
(주)한국해양벤처투자,경력무관 · 정규직 외,면접 후 결정,"부산 동구 자성로141번길 11, 603호",로봇제어,중소기업업종경영 컨설팅업,3,-
(주)마젠타로보틱스,경력무관 · 정규직,면접 후 결정,"대전 유성구 가정로 218, 7층 705,706호 (가정동,융합기술연구생산센터)",로봇제어,"중소기업, 주식회사, 병역특례 인증업체업종응용 소프트웨어 개발 및 공급업",15,11억 472만
씨제이대한통운(주),경력 3년↑ · 정규직,면접 후 결정,서울 종로구 종로5길 7,로봇제어,"코스피, 대기업, 1000대기업, 주식회사업종도로 화물 운송업",6326,-
(주)스마트비전,신입 · 경력 · 정규직,면접 후 결정,"경기 하남시 조정대로 150, 845호",로봇제어,"중소기업, 스타트업업종사업시설 유지ㆍ관리 서비스업",201,-
(주)위너스오토메이션,경력 5년↑ · 정규직,면접 후 결정,"경기 수원시 권선구 오목천로152번길 24, 3층.4층",로봇제어,"중소기업, 주식회사업종기타 산업용 기계 및 장비 도매업",66,-
(주)칼만,신입 · 경력 · 정규직 외,면접 후 결정,"경북 경주시 태종로 516, 산학협력관 2층 207호 (충효동,서라벌대학교)",로봇제어,"중소기업, 연구소, 주식회사, 병역특례 ..업종산업용 로봇 제조업",11,-
(주)한양정밀,신입 · 경력 · 정규직,면접 후 결정,경기 김포시 양촌읍 황금로89번길 140,로봇제어,"중견기업, 외부감사법인, 수출입 기업업종그 외 자동차용 신품 부품 제조업",184,-
(주)케이엔케이,신입 · 경력 · 정규직,면접 후 결정,경기 화성시 기산로87번길 2,로봇제어,"중소기업, 외부감사법인, 연구소, 주식회..업종전자기 측정, 시험 및 분석기구 제조업",56,-
(주)미래컴퍼니,경력 5년↑ · 정규직,면접 후 결정,경기 화성시 양감면 정문송산로 69-12,로봇제어,"코스닥, 외부감사법인, 주식회사, 수출입..업종반도체 제조용 기계 제조업",346,-
동원금속(주),신입 · 경력 · 정규직,면접 후 결정,경북 경산시 진량읍 북리1길 69,로봇제어,"코스피, 중견기업, 외부감사법인, 수출입..업종자동차 차체용 신품 부품 제조업",342,-
(주)듀어코리아,신입 · 정규직,면접 후 결정,"서울 구로구 경인로 662, 20층",로봇제어,중견기업업종건물용 기계ㆍ장비 설치 공사업,120,-
(주)뉴로메카,신입 · 경력 · 정규직 외,면접 후 결정,서울 성동구 아차산로 78,로봇제어,"코스닥, 중소기업, 스타트업, 주식회사, ..업종산업용 로봇 제조업",142,"73억 3,308만"
(주)제이디,경력무관 · 정규직,면접 후 결정,경기 수원시 권선구 산업로155번길 80,로봇제어,"중소기업, 주식회사, 수출입 기업업종컴퓨터 제조업",66,"162억 9,442만"
(주)포스코에이앤씨건축사사무소,경력(년수무관) · 정규직 외,면접 후 결정,"인천 연수구 컨벤시아대로 165, 24층",로봇제어,"대기업, 외부감사법인업종건축설계 및 관련 서비스업",1097,"1,536억 473만"
(주)미래컴퍼니,경력 2년↑ · 정규직,면접 후 결정,경기 화성시 양감면 정문송산로 69-12,로봇제어,"코스닥, 외부감사법인, 주식회사, 수출입..업종반도체 제조용 기계 제조업",346,-
(주)미래컴퍼니,경력 3년↑ · 정규직,면접 후 결정,경기 화성시 양감면 정문송산로 69-12,로봇제어,"코스닥, 외부감사법인, 주식회사, 수출입..업종반도체 제조용 기계 제조업",346,-
(주)베바스토코리아홀딩스,신입 · 경력 · 정규직,면접 후 결정,울산 울주군 온산읍 처용산업로 6,로봇제어,"중견기업, 외국 법인기업, 외부감사법인,..업종그 외 자동차용 신품 부품 제조업",450,-
(주)세운아이엔티,경력 · 정규직,면접 후 결정,경북 영천시 대창면 한제길 20,로봇제어,중소기업업종그 외 자동차용 신품 부품 제조업,52,-
(주)원익아이피에스,경력무관 · 정규직,면접 후 결정,경기 평택시 진위면 진위산단로 75,로봇제어,"코스닥, 중견기업, 주식회사, 병역특례 ..업종반도체 제조용 기계 제조업",1592,-
(주)로엔서지컬,경력 5년↑ · 정규직,면접 후 결정,"대전 유성구 문지로 193, T동 122호",로봇제어,"중소기업, 주식회사, 수출입 기업업종산업용 로봇 제조업",54,-
(주)로엔서지컬,경력 2년↑ · 정규직,면접 후 결정,"대전 유성구 문지로 193, T동 122호",로봇제어,"중소기업, 주식회사, 수출입 기업업종산업용 로봇 제조업",54,-
(주)나인벨,2 ~ 10년 · 정규직,면접 후 결정,"경기 성남시 중원구 사기막골로 99, 비101호,비122호 - 비132호, 비동 614호 - 616호 (상대원동,센트럴비)",로봇제어,"중소기업, 외국인 투자기업, 외부감사법..업종반도체 제조용 기계 제조업",61,"444억 4,615만"
(주)나인벨,5 ~ 20년 · 정규직,면접 후 결정,"경기 성남시 중원구 사기막골로 99, 비101호,비122호 - 비132호, 비동 614호 - 616호 (상대원동,센트럴비)",로봇제어,"중소기업, 외국인 투자기업, 외부감사법..업종반도체 제조용 기계 제조업",61,"444억 4,615만"
(주)나인벨,2 ~ 10년 · 정규직,면접 후 결정,"경기 성남시 중원구 사기막골로 99, 비101호,비122호 - 비132호, 비동 614호 - 616호 (상대원동,센트럴비)",로봇제어,"중소기업, 외국인 투자기업, 외부감사법..업종반도체 제조용 기계 제조업",61,"444억 4,615만"
(주)나인벨,2 ~ 5년 · 정규직,면접 후 결정,"경기 성남시 중원구 사기막골로 99, 비101호,비122호 - 비132호, 비동 614호 - 616호 (상대원동,센트럴비)",로봇제어,"중소기업, 외국인 투자기업, 외부감사법..업종반도체 제조용 기계 제조업",61,"444억 4,615만"
(주)씨아이제이코리아,경력무관 · 정규직,면접 후 결정,경기 오산시 서랑로 36,로봇제어,"중소기업, 주식회사, 병역특례 인증업체,..업종컴퓨터 제조업설립일",-,-
주식회사잇츠센서,신입 · 경력 · 정규직,면접 후 결정,"대구 달서구 월곡로 260, 7층 (상인프라자)",로봇제어,"중소기업, 주식회사업종솔루션·SI·ERP·CRM설립일",-,-
(주)엠바이지,신입 · 경력 · 정규직,면접 후 결정,"부산 영도구 남항서로 42, 3층",로봇제어,"중소기업, 주식회사업종배전반 및 전기 자동제어반 제조업",12,-
(주)유엔디,경력무관 · 정규직,면접 후 결정,대구 수성구 알파시티1로31길 31,로봇제어,"중소기업, 주식회사업종산업용 로봇 제조업",20,-
(주)아이로,경력무관 · 정규직,면접 후 결정,"경기 광명시 덕안로104번길 17, 310호,311호,312호,313호",로봇제어,"중소기업, 외국인 투자기업, 연구소, 주..업종산업용 로봇 제조업",17,"8억 7,810만"
라온로보틱스,경력 5년↑ · 정규직,"연봉 4,200 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기",부산 기장군 정관읍 정관상곡1길 17-10,로봇제어,중소기업업종산업용 로봇 제조업,11,-
(주)시스콘로보틱스,경력무관 · 정규직,면접 후 결정,"인천 서구 로봇랜드로 155-30, 4층 (청라동,로봇알앤디센터)",로봇제어,"중소기업, 주식회사, 병역특례 인증업체홈페이지",-,-
(주)시스콘로보틱스,경력 3년↑ · 정규직,면접 후 결정,"인천 서구 로봇랜드로 155-30, 4층 (청라동,로봇알앤디센터)",로봇제어,"중소기업, 주식회사, 병역특례 인증업체홈페이지",-,-
(주)하이퍼놀로지,신입 · 경력 · 정규직,면접 후 결정,"경기 수원시 장안구 서부로 2066, 산학협력센터 85407호 (천천동,성균관대학교)",로봇제어,"중소기업, 주식회사업종응용 소프트웨어 개발 및 공급업",9,-
(주)뉴빌리티,경력(년수무관) · 정규직,면접 후 결정,"서울 성동구 왕십리로 115, 2층",로봇제어,"중소기업, 스타트업, 연구소, 주식회사, ..업종컴퓨터 프로그래밍 서비스업",98,-
(주)트윔,경력 2년↑ · 정규직,면접 후 결정,경기 화성시 삼성1로4길 7-4,로봇제어,"코스닥, 중소기업, 스타트업, 외부감사법..업종응용 소프트웨어 개발 및 공급업",150,"182억 5,956만"
주식회사휴먼인모션로보틱스아시아,경력 1년↑ · 정규직,면접 후 결정,"서울 강남구 역삼로 227, 3층 (역삼동, 썬스코 빌딩)",로봇제어,"외국인 투자기업, 주식회사업종기계·설비·자동차설립일",-,-
(주)트리즈엔지니어링,신입 · 경력 · 정규직,면접 후 결정,경기 화성시 동탄산단5길 10-12,로봇제어,"중소기업, 주식회사업종기타 엔지니어링 서비스업",24,"23억 5,687만"
(주)라덱셀,3 ~ 10년 · 정규직,면접 후 결정,"강원 춘천시 충혼길52번길 10, 3층 302호",로봇제어,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",8,-
(주)라덱셀,3 ~ 10년 · 정규직,면접 후 결정,"강원 춘천시 충혼길52번길 10, 3층 302호",로봇제어,"중소기업, 연구소, 주식회사업종응용 소프트웨어 개발 및 공급업",8,-
(주)지비티코리아,신입 · 정규직,면접 후 결정,"경기 군포시 당정로 90, 가동 401-1호,401-2호,401-3호 (당정동,신라테크노빌)",로봇제어,"중소기업, 주식회사, 수출입 기업업종기타 반도체소자 제조업",31,79억
(주)알투비,경력무관 · 정규직,"연봉 3,300 만원 (주 40시간)근무형태상세보기상세근무 시간 주 40시간 기준 최저임금은 24,728,880원 입니다. (단, 이는 연장,야간,휴일 수당이 제외된 금액일 수 있습니다.)최저임금 설명 닫기","인천 남동구 은봉로 52, 5층 506호 (논현동,엔아이씨지식산업센터)",로봇제어,"중소기업, 주식회사, 병역특례 인증업체,..업종그 외 기타 분류 안된 금속 가공 제품 제..",9,-
(주)지오로봇,경력무관 · 정규직,면접 후 결정,"대구 달서구 달구벌대로 1130, 1층 101호",로봇제어,중소기업업종산업용 로봇 제조업,7,-
(주)테솔로,신입 · 경력 · 정규직,면접 후 결정,"인천 연수구 컨벤시아대로 165, 26층 브이454",로봇제어,"중소기업, 주식회사업종산업용 로봇 제조업",10,"3억 3,900만"
(주)테솔로,신입 · 경력 · 정규직,면접 후 결정,"인천 연수구 컨벤시아대로 165, 26층 브이454",로봇제어,"중소기업, 주식회사업종산업용 로봇 제조업",10,"3억 3,900만"
(주)럭스로보,경력 5년↑ · 정규직,면접 후 결정,"서울 서초구 강남대로 311, 13층",로봇제어,"중소기업, 스타트업, 주식회사, 병역특례..업종산업용 로봇 제조업",80,-
(주)에니아이,경력무관 · 정규직 외,면접 후 결정,서울 성동구 상원1길 22 굿타워,로봇제어,"중소기업, 외국 법인기업, 주식회사, 병..업종전기·전자·제어",28,-
